Date (MM/DD/YYYY),Time (HH:mm:ss),Chlorophyll RFU,SpCond µS/cm,ODO mg/L,TAL PC RFU,Turbidity FNU,pH,Temp °C
8/13/2021,19:36:48,1.53,20843.8,8.24,0.42,123.02,7.89,21.207
8/13/2021,19:51:48,1.49,20851,8.21,0.38,93.74,7.88,21.25
8/13/2021,20:06:48,1.35,20878.1,8.05,0.29,68.86,7.86,21.324
8/13/2021,20:21:48,1.41,20870.3,7.98,0.34,68.12,7.86,21.46
8/13/2021,20:36:48,1.36,20908,7.89,0.3,64.72,7.84,21.515
8/13/2021,20:51:48,1.27,20979.9,7.7,0.32,67.68,7.81,21.6
8/13/2021,21:06:48,1.22,21030.6,7.49,0.3,68.64,7.77,21.685
8/13/2021,21:21:48,1.21,21060.7,7.3,0.28,75.17,7.74,21.797
8/13/2021,21:36:48,1.15,21098.7,7.05,0.27,72.66,7.69,21.927
8/13/2021,21:51:48,1.13,21161.5,6.73,0.23,68.26,7.62,22.104
8/13/2021,22:06:48,1.12,21267.9,6.4,0.22,66.83,7.52,22.103
8/13/2021,22:21:48,1.13,21359.5,6.16,0.22,53.3,7.43,22.042
8/13/2021,22:36:48,1.05,21423.6,6,0.18,47.85,7.37,21.979
8/13/2021,22:51:48,1.07,21469.9,5.9,0.17,41.37,7.32,21.935
8/13/2021,23:06:48,1.07,21506.5,5.85,0.17,34.53,7.29,21.882
8/13/2021,23:21:48,1.02,21535.2,5.8,0.13,28.45,7.27,21.836
8/13/2021,23:36:48,1.03,21556.7,5.76,0.13,25.81,7.25,21.786
8/13/2021,23:51:48,1.02,21579.8,5.72,0.18,23.32,7.23,21.727
8/14/2021,0:06:48,1.02,21605,5.67,0.17,20.91,7.21,21.672
8/14/2021,0:21:48,0.99,21631.7,5.62,0.16,17.92,7.19,21.627
8/14/2021,0:36:48,0.99,21647.5,5.59,0.11,17.42,7.17,21.578
8/14/2021,0:51:48,1.03,21665.4,5.55,0.15,15.87,7.16,21.53
8/14/2021,1:06:48,1.02,21678.3,5.53,0.12,15.07,7.15,21.49
8/14/2021,1:21:48,1,21690.6,5.5,0.12,14.93,7.14,21.449
8/14/2021,1:36:48,1.03,21699.9,5.45,0.13,13.91,7.13,21.404
8/14/2021,1:51:48,1.08,21703.9,5.44,0.17,12.53,7.13,21.356
8/14/2021,2:06:48,1.1,21704.3,5.52,0.18,14.15,7.14,21.283
8/14/2021,2:21:48,1.06,21668.4,6,0.14,22.02,7.22,20.791
8/14/2021,2:36:48,1.04,21676.3,6.09,0.12,24.57,7.24,20.737
8/14/2021,2:51:48,1.01,21670.9,6.12,0.11,19.85,7.25,20.715
8/14/2021,3:06:48,1.22,21428.7,7.79,0.24,80.51,7.73,19.392
8/14/2021,3:21:48,1.52,21459.6,7.64,0.44,200.24,7.68,19.695
8/14/2021,3:36:48,1.59,21122.1,8.03,0.63,227.48,7.81,19.43
8/14/2021,3:51:48,1.7,21032.2,8.3,0.6,222.4,7.87,19.177
8/14/2021,4:06:48,1.65,20994.7,8.4,0.57,208.65,7.89,19.003
8/14/2021,4:21:48,1.58,20984,8.43,0.53,198.11,7.89,18.919
8/14/2021,4:36:48,1.43,20940.7,8.5,0.43,187.75,7.9,18.734
8/14/2021,4:51:48,1.49,20782.6,8.46,0.47,183.21,7.9,19.005
8/14/2021,5:06:48,1.47,20668.3,8.42,0.47,196.52,7.89,19.189
8/14/2021,5:21:48,1.46,20580.7,8.46,0.47,183.27,7.9,19.053
8/14/2021,5:36:48,1.39,20655.4,8.51,0.41,186.5,7.9,18.825
8/14/2021,5:51:48,1.38,20624.3,8.54,0.41,139.95,7.9,18.758
8/14/2021,6:06:48,1.39,20634.9,8.57,0.41,153.93,7.9,18.616
8/14/2021,6:21:48,1.35,20569.2,8.55,0.37,129.95,7.9,18.706
8/14/2021,6:36:48,1.34,20670.8,8.56,0.37,135.94,7.89,18.612
8/14/2021,6:51:48,1.35,20667.6,8.54,0.4,159.52,7.89,18.77
8/14/2021,7:06:48,1.37,20660.7,8.54,0.35,128.26,7.89,18.734
8/14/2021,7:21:48,1.25,20665.4,8.52,0.32,113.33,7.89,18.693
8/14/2021,7:36:48,1.07,20676.2,8.54,0.27,76.21,7.89,18.645
8/14/2021,7:51:48,0.99,20685,8.55,0.21,57.68,7.89,18.599
8/14/2021,8:06:48,0.96,20694.6,8.54,0.22,47.77,7.89,18.51
8/14/2021,8:21:48,0.93,20632.2,8.46,0.2,41.5,7.88,18.532
8/14/2021,8:36:48,0.89,20688.4,8.46,0.18,34.98,7.88,18.542
8/14/2021,8:51:48,0.88,20713.1,8.42,0.17,35.5,7.88,18.653
8/14/2021,9:06:48,0.87,20765.9,8.36,0.16,32.84,7.87,18.757
8/14/2021,9:21:48,0.9,20857.6,8.36,0.17,31.87,7.86,18.744
8/14/2021,9:36:48,0.9,20981.4,8.34,0.19,31.85,7.85,18.741
8/14/2021,9:51:48,0.93,21068.4,8.26,0.16,30.35,7.82,18.907
8/14/2021,10:06:48,0.92,21130.8,8.16,0.16,27.74,7.79,19.099
8/14/2021,10:21:48,0.91,21188.2,8.05,0.13,25.86,7.74,19.272
8/14/2021,10:36:48,0.92,21264.2,7.91,0.13,25.85,7.68,19.479
8/14/2021,10:51:48,0.93,21398.9,7.59,0.12,21.59,7.55,19.784
8/14/2021,11:06:48,0.95,21531.6,7.22,0.13,23.92,7.42,20.134
8/14/2021,11:21:48,1.02,21647.5,6.85,0.15,20.96,7.3,20.434
8/14/2021,11:36:48,1.02,21734.1,6.59,0.1,21.06,7.23,20.652
8/14/2021,11:51:48,1.01,21801,6.42,0.08,19.52,7.18,20.821
8/14/2021,12:06:48,1.03,21808.2,6.41,0.06,18.95,7.19,20.983
8/14/2021,12:21:48,1.08,21853.8,6.31,0.09,15.51,7.15,21.081
8/14/2021,12:36:48,1.07,21883.9,6.27,0.1,16.01,7.14,21.258
8/14/2021,12:51:48,1.09,21904.7,6.22,0.07,15.52,7.13,21.344
8/14/2021,13:06:48,1.11,21920.4,6.2,0.11,16.18,7.12,21.54
8/14/2021,13:21:48,1.19,21918.9,6.07,0.11,16.66,7.11,21.411
8/14/2021,13:36:48,1.13,21912.6,6.36,0.05,14.96,7.15,22.155
8/14/2021,13:51:48,1.24,21881.7,6.34,0.13,19.13,7.16,22.018
8/14/2021,14:06:48,1.24,21318.9,7.5,0.14,48.33,7.56,24.256
8/14/2021,14:21:48,1.32,20907.7,7.96,0.3,77.17,7.81,25.336
8/14/2021,14:36:48,1.57,20731.1,8.21,0.37,94.24,7.85,24.685
8/14/2021,14:51:48,1.61,20614.7,8.4,0.33,83.84,7.89,24.441
8/14/2021,15:06:48,1.69,20469.8,8.51,0.3,87.09,7.91,24.108
8/14/2021,15:21:48,1.54,20528.1,8.32,0.25,81.97,7.9,24.971
8/14/2021,15:36:48,1.58,20492.8,8.44,0.34,77.53,7.91,24.659
8/14/2021,15:51:48,1.53,20342.8,8.55,0.24,71.37,7.93,24.099
8/14/2021,16:06:48,1.65,20417.1,8.57,0.27,87.51,7.93,23.681
8/14/2021,16:21:48,1.55,20488,8.35,0.34,77.9,7.92,24.533
8/14/2021,16:36:48,1.49,20489.4,8.25,0.3,77.36,7.91,24.726
8/14/2021,16:51:48,1.44,20242.6,8.3,0.31,79.8,7.92,24.221
8/14/2021,17:06:48,1.32,20033.8,8.3,0.24,85.52,7.92,23.862
8/14/2021,17:21:48,1.39,20105.6,8.33,0.27,80.31,7.92,23.554
8/14/2021,17:36:48,1.37,20229.6,8.36,0.25,73.82,7.93,23.041
8/14/2021,17:51:48,1.29,20176.9,8.4,0.25,77.3,7.92,22.681
8/14/2021,18:06:48,1.3,20168.3,8.44,0.27,78.73,7.92,22.397
8/14/2021,18:21:48,1.45,20078.3,8.45,0.29,83.6,7.92,22.168
8/14/2021,18:36:48,1.42,20059,8.43,0.29,101.92,7.91,22.042
8/14/2021,18:51:48,1.46,20172.3,8.42,0.27,96.51,7.91,21.924
8/14/2021,19:06:48,1.4,20275.7,8.43,0.23,96.67,7.92,21.878
8/14/2021,19:21:48,1.4,20344,8.43,0.3,95.8,7.92,21.85
8/14/2021,19:36:48,1.49,20413.5,8.43,0.29,87.95,7.92,21.783
8/14/2021,19:51:48,1.49,20436.1,8.41,0.29,96.62,7.92,21.723
8/14/2021,20:06:48,1.57,20446.8,8.35,0.34,107.96,7.92,21.696
8/14/2021,20:21:48,1.55,20384.7,8.32,0.28,91.28,7.92,21.676
8/14/2021,20:36:48,1.48,20379.7,8.27,0.27,69.97,7.91,21.673
8/14/2021,20:51:48,1.3,20375,8.22,0.22,62,7.91,21.667
8/14/2021,21:06:48,1.3,20367.7,8.02,0.19,55.85,7.87,21.616
8/14/2021,21:21:48,1.26,20331.3,7.9,0.23,58.87,7.85,21.618
8/14/2021,21:36:48,1.26,20312.6,7.73,0.22,68.03,7.82,21.614
8/14/2021,21:51:48,1.18,20320.7,7.55,0.22,73.31,7.78,21.57
8/14/2021,22:06:48,1.19,20304.9,7.35,0.26,77.06,7.74,21.602
8/14/2021,22:21:48,1.18,20294.8,7.06,0.24,85.82,7.68,21.65
8/14/2021,22:36:48,1.19,20321.4,6.78,0.26,76.12,7.61,21.72
8/14/2021,22:51:48,1.15,20464.4,6.39,0.24,83.93,7.5,21.814
8/14/2021,23:06:48,1.14,20596.4,6.15,0.24,75.61,7.42,21.879
8/14/2021,23:21:48,1.09,20693.1,6,0.2,63.48,7.37,21.892
8/14/2021,23:36:48,1.11,20752.1,5.92,0.21,53.63,7.34,21.881
8/14/2021,23:51:48,1.07,20811,5.89,0.19,41.11,7.32,21.858
8/15/2021,0:06:48,1.06,20873.6,5.87,0.16,35.54,7.29,21.829
8/15/2021,0:21:48,1.04,20918.4,5.85,0.19,32,7.28,21.806
8/15/2021,0:36:48,0.97,20965.4,5.8,0.1,28.64,7.25,21.762
8/15/2021,0:51:48,0.98,21007.1,5.79,0.1,24.54,7.24,21.707
8/15/2021,1:06:48,0.97,21041.9,5.78,0.09,21.96,7.22,21.644
8/15/2021,1:21:48,0.98,21079.5,5.75,0.11,19.92,7.21,21.582
8/15/2021,1:36:48,0.99,21119.8,5.74,0.1,18.28,7.2,21.521
8/15/2021,1:51:48,0.95,21159.7,5.77,0.11,19.26,7.19,21.44
8/15/2021,2:06:48,0.96,21192.5,5.77,0.09,23.03,7.18,21.349
8/15/2021,2:21:48,0.98,21230.5,5.76,0.09,24.03,7.18,21.285
8/15/2021,2:36:48,0.98,21270.6,5.77,0.1,20.96,7.17,21.201
8/15/2021,2:51:48,1.02,21298.7,5.76,0.07,19.23,7.16,21.132
8/15/2021,3:06:48,0.97,21323.2,5.77,0.1,28.94,7.15,21.079
8/15/2021,3:21:48,1.01,21313,5.97,0.1,16.14,7.19,20.975
8/15/2021,3:36:48,1,21292.1,6.13,0.1,18.01,7.21,20.858
8/15/2021,3:51:48,0.97,21161.8,6.57,0.08,20.55,7.3,20.366
8/15/2021,4:06:48,1.19,20693.8,8.42,0.25,83.96,7.83,18.28
8/15/2021,4:21:48,1.22,20687,8.42,0.22,59.21,7.84,18.303
8/15/2021,4:36:48,1.1,20720.2,8.43,0.2,58.42,7.83,18.37
8/15/2021,4:51:48,1.37,20505.7,8.58,0.48,202.99,7.87,18.264
8/15/2021,5:06:48,1.54,20424.9,8.54,0.65,270.84,7.87,18.677
8/15/2021,5:21:48,1.42,20482.8,8.54,0.53,265.02,7.87,18.691
8/15/2021,5:36:48,1.39,20511.1,8.52,0.42,153.27,7.86,18.78
8/15/2021,5:51:48,1.25,20504.8,8.56,0.33,100.87,7.87,18.497
8/15/2021,6:06:48,1.24,20445.8,8.66,0.36,109.59,7.89,18.056
8/15/2021,6:21:48,1.3,20440,8.66,0.37,127.07,7.9,18.156
8/15/2021,6:36:48,1.23,20427.1,8.66,0.33,113.88,7.9,18.177
8/15/2021,6:51:48,1.14,20467.7,8.7,0.27,89.2,7.9,17.919
8/15/2021,7:06:48,1.04,20422.1,8.7,0.26,65.37,7.9,17.814
8/15/2021,7:21:48,1.04,20317.1,8.66,0.22,75.97,7.9,17.973
8/15/2021,7:36:48,1.09,20283.8,8.63,0.25,67.81,7.9,18.038
8/15/2021,7:51:48,1.05,20182.4,8.58,0.21,67.66,7.9,18.267
8/15/2021,8:06:48,1.11,20037.2,8.55,0.23,69.17,7.9,18.565
8/15/2021,8:21:48,1.12,19967.6,8.55,0.22,74.5,7.9,18.629
8/15/2021,8:36:48,1.03,20029.3,8.53,0.21,65.17,7.89,18.586
8/15/2021,8:51:48,0.96,20039,8.54,0.21,43.99,7.9,18.612
8/15/2021,9:06:48,0.88,20107,8.54,0.18,38.82,7.89,18.526
8/15/2021,9:21:48,0.84,20145.3,8.54,0.17,36.65,7.89,18.491
8/15/2021,9:36:48,0.85,20188.6,8.52,0.18,36.49,7.89,18.476
8/15/2021,9:51:48,0.88,20298.7,8.6,0.2,28.76,7.89,18.399
8/15/2021,10:06:48,0.89,20449,8.61,0.17,28.76,7.88,18.389
8/15/2021,10:21:48,0.87,20468.2,8.53,0.17,28.94,7.86,18.496
8/15/2021,10:36:48,0.84,20488.1,8.52,0.17,26.03,7.85,18.583
8/15/2021,10:51:48,0.84,20514.8,8.54,0.18,23.39,7.85,18.786
8/15/2021,11:06:48,0.81,20525.9,8.47,0.12,23.59,7.84,18.921
8/15/2021,11:21:48,0.77,20526.5,8.46,0.12,22.97,7.83,19.033
8/15/2021,11:36:48,0.79,20551.4,8.45,0.12,19.88,7.81,19.121
8/15/2021,11:51:48,0.78,20614.3,8.38,0.1,19.97,7.77,19.243
8/15/2021,12:06:48,0.78,20703.5,8.25,0.1,18.67,7.72,19.472
8/15/2021,12:21:48,0.83,20868.1,7.99,0.1,17.23,7.61,19.859
8/15/2021,12:36:48,0.88,21033.2,7.67,0.11,15.52,7.5,20.295
8/15/2021,12:51:48,0.94,21197.6,7.33,0.12,15.04,7.4,20.72
8/15/2021,13:06:48,0.95,21301.6,7.14,0.11,16.92,7.34,21.028
8/15/2021,13:21:48,1.01,21344.2,7.07,0.08,13.31,7.32,21.189
8/15/2021,13:36:48,1.04,21366,7.04,0.11,13.92,7.31,21.331
8/15/2021,13:51:48,1.12,21341.3,7.14,0.15,13.43,7.34,21.542
8/15/2021,14:06:48,1.39,20882.2,7.48,0.19,20.04,7.53,22.465
8/15/2021,14:21:48,1.43,20579.3,7.66,0.18,36.65,7.66,23.287
8/15/2021,14:36:48,1.27,20802.7,7.56,0.14,36.99,7.55,22.809
8/15/2021,14:51:48,1.5,19911.6,8.08,0.25,74.12,7.87,23.921
8/15/2021,15:06:48,1.56,19923.5,8.11,0.24,79.84,7.87,23.938
8/15/2021,15:21:48,1.49,20022.6,8.06,0.21,70.54,7.84,24.014
8/15/2021,15:36:48,1.49,19885.4,8.09,0.24,73.01,7.86,24.142
8/15/2021,15:51:48,1.54,19911.6,8.07,0.26,77.39,7.87,24.3
8/15/2021,16:06:48,1.76,19705,8.25,0.34,106.32,7.91,23.57
8/15/2021,16:21:48,1.76,19769.5,8.26,0.31,115.63,7.92,23.441
8/15/2021,16:36:48,1.61,19837.2,8.1,0.28,88.45,7.9,24.061
8/15/2021,16:51:48,1.7,19812.9,8.33,0.34,91.52,7.92,23.007
8/15/2021,17:06:48,1.62,19805.3,8.3,0.33,96.65,7.92,22.936
8/15/2021,17:21:48,1.63,19748.9,8.3,0.35,90.42,7.92,23.012
8/15/2021,17:36:48,1.58,19807.2,8.34,0.36,98.54,7.92,22.692
8/15/2021,17:51:48,1.66,19824.2,8.38,0.38,97.32,7.92,22.373
8/15/2021,18:06:48,1.52,19823.5,8.38,0.33,89.98,7.92,22.328
8/15/2021,18:21:48,1.55,19813.7,8.42,0.33,86.42,7.93,22.024
8/15/2021,18:36:48,1.56,19803.6,8.43,0.34,90.67,7.93,21.867
8/15/2021,18:51:48,1.55,19762,8.45,0.31,90.91,7.93,21.734
8/15/2021,19:06:48,1.63,19602.1,8.44,0.36,94.51,7.93,21.685
8/15/2021,19:21:48,1.63,19527.7,8.43,0.32,96.18,7.93,21.652
8/15/2021,19:36:48,1.66,19464.4,8.41,0.37,97.6,7.93,21.595
8/15/2021,19:51:48,1.6,19382.2,8.4,0.32,95.74,7.93,21.558
8/15/2021,20:06:48,1.62,19413.4,8.38,0.37,90.53,7.92,21.507
8/15/2021,20:21:48,1.6,19265.7,8.37,0.35,89.43,7.92,21.521
8/15/2021,20:36:48,1.59,19188.6,8.37,0.34,90.36,7.92,21.496
8/15/2021,20:51:48,1.58,19237.5,8.34,0.33,78.87,7.92,21.446
8/15/2021,21:06:48,1.7,19199.1,8.32,0.35,81.89,7.92,21.437
8/15/2021,21:21:48,1.63,19203.1,8.28,0.34,76.02,7.91,21.391
8/15/2021,21:36:48,1.58,19235.3,8.27,0.37,71.77,7.91,21.436
8/15/2021,21:51:48,1.45,19392.6,8,0.32,57.4,7.88,21.529
8/15/2021,22:06:48,1.41,19446.9,7.92,0.32,55.57,7.86,21.486
8/15/2021,22:21:48,1.37,19503.7,7.77,0.33,50.73,7.84,21.427
8/15/2021,22:36:48,1.32,19572.2,7.57,0.29,59.68,7.8,21.391
8/15/2021,22:51:48,1.32,19642,7.34,0.34,67.4,7.75,21.375
8/15/2021,23:06:48,1.27,19692,7.16,0.35,74.23,7.71,21.354
8/15/2021,23:21:48,1.28,19769.5,6.86,0.35,74.36,7.64,21.339
8/15/2021,23:36:48,1.23,19908,6.45,0.35,76.72,7.53,21.358
8/15/2021,23:51:48,1.3,20031.5,6.17,0.31,70.44,7.45,21.386
8/16/2021,0:06:48,1.2,20128.8,5.99,0.29,55.3,7.39,21.403
8/16/2021,0:21:48,1.19,20203.3,5.9,0.21,53.19,7.36,21.406
8/16/2021,0:36:48,1.21,20273.1,5.85,0.25,45.9,7.33,21.4
8/16/2021,0:51:48,1.11,20332.1,5.81,0.23,38.92,7.31,21.385
8/16/2021,1:06:48,1.11,20384.9,5.78,0.16,33.23,7.29,21.368
8/16/2021,1:21:48,1.13,20435.4,5.77,0.19,29.48,7.27,21.346
8/16/2021,1:36:48,1.09,20480.3,5.75,0.2,24.93,7.26,21.323
8/16/2021,1:51:48,1.12,20520.4,5.77,0.2,22.61,7.24,21.268
8/16/2021,2:06:48,1.06,20562,5.73,0.18,19.6,7.23,21.23
8/16/2021,2:21:48,1.02,20611.6,5.7,0.16,18.48,7.21,21.18
8/16/2021,2:36:48,1.03,20658.1,5.67,0.15,16.64,7.2,21.13
8/16/2021,2:51:48,1.05,20713.3,5.63,0.16,16.26,7.18,21.072
8/16/2021,3:06:48,1.05,20772.7,5.65,0.16,15.6,7.18,21.016
8/16/2021,3:21:48,1.06,20818.8,5.65,0.17,16.49,7.17,20.935
8/16/2021,3:36:48,1.04,20859.3,5.66,0.16,16.52,7.16,20.869
8/16/2021,3:51:48,1.04,20901.8,5.68,0.18,16.69,7.16,20.798
8/16/2021,4:06:48,1.08,20932.6,5.66,0.15,14.2,7.15,20.75
8/16/2021,4:21:48,1.07,20982.2,5.66,0.15,16.34,7.14,20.681
8/16/2021,4:36:48,1.08,21008.9,5.72,0.16,18.61,7.14,20.604
8/16/2021,4:51:48,1.07,21029,5.74,0.18,15.13,7.14,20.552
8/16/2021,5:06:48,1.1,21048.2,5.75,0.16,14.67,7.13,20.495
8/16/2021,5:21:48,1.13,20955.1,6.09,0.13,16.25,7.19,20.239
8/16/2021,5:36:48,1.46,19557.8,8.45,0.31,141.12,7.88,18.217
8/16/2021,5:51:48,1.45,19497.9,8.47,0.4,142.94,7.89,18.219
8/16/2021,6:06:48,1.41,19474.1,8.52,0.39,136.42,7.89,18.107
8/16/2021,6:21:48,1.4,19294.1,8.32,0.33,111.16,7.83,18.499
8/16/2021,6:36:48,1.62,19033.6,8.36,0.4,142.4,7.86,18.632
8/16/2021,6:51:48,1.49,18863.1,8.55,0.42,159.98,7.91,18.493
8/16/2021,7:06:48,1.51,18745.3,8.62,0.52,191.96,7.93,18.4
8/16/2021,7:21:48,1.27,19070.3,8.69,0.41,130.6,7.93,18.063
8/16/2021,7:36:48,1.37,19093.8,8.65,0.39,148.42,7.92,18.207
8/16/2021,7:51:48,1.28,19130.1,8.66,0.34,112.91,7.92,18.125
8/16/2021,8:06:48,1.18,19155,8.68,0.31,110.54,7.91,18.058
8/16/2021,8:21:48,1.31,18766.8,8.6,0.38,126.9,7.91,18.667
8/16/2021,8:36:48,1.31,18666.1,8.61,0.41,115.93,7.92,18.689
8/16/2021,8:51:48,1.23,18711.7,8.62,0.36,95.94,7.91,18.617
8/16/2021,9:06:48,1.2,18719.8,8.62,0.28,76.7,7.91,18.63
8/16/2021,9:21:48,1.19,18765.1,8.64,0.26,69.33,7.91,18.615
8/16/2021,9:36:48,1.18,18747.1,8.64,0.34,75.39,7.91,18.723
8/16/2021,9:51:48,1.2,18642.6,8.62,0.32,80.8,7.91,18.932
8/16/2021,10:06:48,1.16,18558.1,8.59,0.25,64.8,7.91,19.143
8/16/2021,10:21:48,1.14,18543.5,8.57,0.24,58.31,7.91,19.227
8/16/2021,10:36:48,1.11,18568.9,8.58,0.26,51.43,7.91,19.238
8/16/2021,10:51:48,1.02,18629.5,8.59,0.2,41.24,7.91,19.241
8/16/2021,11:06:48,1.05,18724.2,8.65,0.18,31.79,7.91,19.333
8/16/2021,11:21:48,1.04,18782,8.65,0.21,29.34,7.91,19.521
8/16/2021,11:36:48,0.98,18840.9,8.69,0.21,26.92,7.92,19.577
8/16/2021,11:51:48,0.96,18978.6,8.69,0.18,23.28,7.91,19.356
8/16/2021,12:06:48,0.97,19076.7,8.71,0.19,23.1,7.91,19.373
8/16/2021,12:21:48,1.03,19095.4,8.74,0.23,23.63,7.91,19.561
8/16/2021,12:36:48,0.95,19065.8,8.71,0.19,25.69,7.9,19.554
8/16/2021,12:51:48,0.87,19051.8,8.69,0.16,23.77,7.9,19.767
8/16/2021,13:06:48,0.96,19043.5,8.67,0.21,23.46,7.89,19.823
8/16/2021,13:21:48,0.89,19089.1,8.63,0.17,21.39,7.88,19.993
8/16/2021,13:36:48,0.85,19176.9,8.54,0.16,20.04,7.85,20.071
8/16/2021,13:51:48,0.85,19324.7,8.41,0.13,20.2,7.8,20.131
8/16/2021,14:06:48,0.85,19456.5,8.39,0.14,18.19,7.78,20.475
8/16/2021,14:21:48,0.9,19578,8.38,0.11,14.82,7.75,20.794
8/16/2021,14:36:48,0.9,19636.4,8.3,0.12,16.55,7.72,20.746
8/16/2021,14:51:48,1.25,19246.4,8.21,0.17,46.98,7.83,22.669
8/16/2021,15:06:48,1.16,19126.9,8.1,0.19,55.45,7.84,23.063
8/16/2021,15:21:48,1.25,19288.1,8.2,0.16,37.99,7.83,22.84
8/16/2021,15:36:48,1.16,19223.6,8.12,0.14,37.19,7.83,23.054
8/16/2021,15:51:48,1.47,19114.7,7.94,0.21,76.11,7.88,24.376
8/16/2021,16:06:48,1.12,19133.1,8.05,0.16,46.11,7.89,23.714
8/16/2021,16:21:48,1.19,19099,8.16,0.19,44.41,7.9,23.381
8/16/2021,16:36:48,1.24,19071.2,8.18,0.2,47.31,7.9,23.429
8/16/2021,16:51:48,1.34,19019.3,8.25,0.22,61.16,7.9,23.336
8/16/2021,17:06:48,1.46,19021.3,8.3,0.25,65.08,7.91,23.384
8/16/2021,17:21:48,1.38,18986.2,8.35,0.23,58.55,7.92,23.484
8/16/2021,17:36:48,1.34,19006,8.34,0.25,55.39,7.92,23.602
8/16/2021,17:51:48,1.47,19057.5,8.34,0.28,68.55,7.92,23.516
8/16/2021,18:06:48,1.67,19485.4,8.38,0.27,84.57,7.92,22.979
8/16/2021,18:21:48,1.74,19775.5,8.4,0.27,82.24,7.93,22.812
8/16/2021,18:36:48,1.83,20038.7,8.38,0.31,94.51,7.93,22.796
8/16/2021,18:51:48,1.61,19644.6,8.44,0.33,98.59,7.94,22.923
8/16/2021,19:06:48,1.52,19766.4,8.52,0.35,92.19,7.96,22.744
8/16/2021,19:21:48,1.57,20049.9,8.56,0.3,90.04,7.96,22.533
8/16/2021,19:36:48,1.57,20320.8,8.59,0.29,83.62,7.97,22.378
8/16/2021,19:51:48,1.63,20553.5,8.64,0.34,82.11,7.98,22.28
8/16/2021,20:06:48,1.58,20014.2,8.45,0.24,68.42,7.96,22.41
8/16/2021,20:21:48,1.74,20042,8.42,0.32,78.23,7.95,22.379
8/16/2021,20:36:48,1.66,19872,8.35,0.3,74.53,7.94,22.43
8/16/2021,20:51:48,1.65,19707.4,8.32,0.32,90.73,7.93,22.408
8/16/2021,21:06:48,1.66,19536.6,8.28,0.28,82.55,7.93,22.398
8/16/2021,21:21:48,1.63,19457.8,8.26,0.31,81.48,7.93,22.383
8/16/2021,21:36:48,1.63,19104.7,8.15,0.36,90.12,7.91,22.476
8/16/2021,21:51:48,1.74,18906.9,8.04,0.34,111.11,7.89,22.452
8/16/2021,22:06:48,1.53,18902,8.08,0.3,83.19,7.9,22.293
8/16/2021,22:21:48,1.49,18947.5,7.94,0.28,74.96,7.87,22.308
8/16/2021,22:36:48,1.32,19014.4,7.96,0.22,51.45,7.88,22.267
8/16/2021,22:51:48,1.31,19353.6,7.78,0.24,48.54,7.85,22.094
8/16/2021,23:06:48,1.27,19607.9,7.73,0.23,54.05,7.85,21.999
8/16/2021,23:21:48,1.29,19812.8,7.59,0.27,59.15,7.82,21.869
